Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Rank),Status Category
Create box negative - 500,IS-27,10026,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:18 PM,13/Dec/22 11:19 PM,13/Dec/22 11:22 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/api|https://staging.lpitko.ru/api/register?redirect=%2F]/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""testik"",//change ""Create box negative"" here
    ""key"": ""ttttttt"",//change ""Create box negative"" here
    ""picture"": ""{{picture}}"",
    ""usePost"": {{usePost}},
    ""useCashLimit"": {{useCashLimit}},
    ""cashLimit"": ""1.1"",
    ""cashLimitCurrency"": ""{{cashLimitCurrency}}"",
    ""useWish"": {{useWish}},
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": {{useNames}},
    ""isPhoneRequired"": {{isPhoneRequired}},
    ""logo"": null
}{noformat}

[^Новая таблица - Negative tests-final.csv]
[^Box test full flow.postman_test_run.json]
[^workspace.postman_globals_new.json]

*Expected Result*:

500 kod",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,,,IS-26,13/Dec/22 11:18 PM;616c7d88a6ecfc0071ceb3da;Box test full flow.postman_test_run.json;https://team-16689568931872.atlassian.net/secure/attachment/10011/Box+test+full+flow.postman_test_run.json,13/Dec/22 11:18 PM;616c7d88a6ecfc0071ceb3da;workspace.postman_globals_new.json;https://team-16689568931872.atlassian.net/secure/attachment/10012/workspace.postman_globals_new.json,13/Dec/22 11:18 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Negative tests-final.csv;https://team-16689568931872.atlassian.net/secure/attachment/10013/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Negative+tests-final.csv,13/Dec/22 11:18 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Pozitive tests (копия)-3.csv;https://team-16689568931872.atlassian.net/secure/attachment/10014/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Pozitive+tests+%28%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%29-3.csv,,0|i0005r:,To Do
Create box negative,IS-26,10025,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:14 PM,13/Dec/22 11:18 PM,13/Dec/22 11:17 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/api|https://staging.lpitko.ru/api/register?redirect=%2F]/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{name}}"",
    ""key"": ""{{key}}"",
    ""picture"": ""{{picture}}"",
    ""usePost"": {{usePost}},
    ""useCashLimit"": {{useCashLimit}},
    ""cashLimit"": ""{{cashLimit}}"",
    ""cashLimitCurrency"": ""{{cashLimitCurrency}}"",
    ""useWish"": {{useWish}},
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": {{useNames}},
    ""isPhoneRequired"": {{isPhoneRequired}},
    ""logo"": null
}{noformat}

[^Новая таблица - Negative tests-final.csv]
[^Box test full flow.postman_test_run.json]
[^workspace.postman_globals_new.json]



*Expected Result*:

400 kod",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,IS-27,,IS-24,13/Dec/22 11:14 PM;616c7d88a6ecfc0071ceb3da;Box test full flow.postman_test_run.json;https://team-16689568931872.atlassian.net/secure/attachment/10006/Box+test+full+flow.postman_test_run.json,13/Dec/22 11:14 PM;616c7d88a6ecfc0071ceb3da;workspace.postman_globals_new.json;https://team-16689568931872.atlassian.net/secure/attachment/10007/workspace.postman_globals_new.json,13/Dec/22 11:17 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Negative tests-final.csv;https://team-16689568931872.atlassian.net/secure/attachment/10010/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Negative+tests-final.csv,13/Dec/22 11:14 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Pozitive tests (копия)-3.csv;https://team-16689568931872.atlassian.net/secure/attachment/10008/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Pozitive+tests+%28%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%29-3.csv,,0|i0005j:,To Do
Change box positive,IS-25,10024,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:12 PM,13/Dec/22 11:13 PM,13/Dec/22 11:12 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/api|https://staging.lpitko.ru/api/register?redirect=%2F]/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{name}}"",
    ""key"": ""{{key}}"",
    ""picture"": ""cookie_star"",
    ""usePost"": {{usePost}},
    ""useCashLimit"": {{useCashLimit}},
    ""cashLimit"": ""{{cashLimit}}"",
    ""cashLimitCurrency"": ""{{cashLimitCurrency}}"",
    ""useWish"": {{useWish}},
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": {{useNames}},
    ""isPhoneRequired"": {{isPhoneRequired}},
    ""logo"": null
}{noformat}

[^Новая таблица - Pozitive tests (копия)-3.csv]
[^Box test full flow.postman_test_run.json]
[^workspace.postman_globals_new.json]

*Expected Result*:

200 kod",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,,,IS-24,13/Dec/22 11:12 PM;616c7d88a6ecfc0071ceb3da;Box test full flow.postman_test_run.json;https://team-16689568931872.atlassian.net/secure/attachment/10003/Box+test+full+flow.postman_test_run.json,13/Dec/22 11:12 PM;616c7d88a6ecfc0071ceb3da;workspace.postman_globals_new.json;https://team-16689568931872.atlassian.net/secure/attachment/10004/workspace.postman_globals_new.json,13/Dec/22 11:12 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Pozitive tests (копия)-3.csv;https://team-16689568931872.atlassian.net/secure/attachment/10005/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Pozitive+tests+%28%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%29-3.csv,,,0|i0005b:,To Do
Create box positive,IS-24,10023,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:06 PM,13/Dec/22 11:15 PM,13/Dec/22 11:16 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/api|https://staging.lpitko.ru/api/register?redirect=%2F]/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{name}}"",
    ""key"": ""{{key}}"",
    ""picture"": ""{{picture}}"",
    ""usePost"": {{usePost}},
    ""useCashLimit"": {{useCashLimit}},
    ""cashLimit"": ""{{cashLimit}}"",
    ""cashLimitCurrency"": ""{{cashLimitCurrency}}"",
    ""useWish"": {{useWish}},
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": {{useNames}},
    ""isPhoneRequired"": {{isPhoneRequired}},
    ""logo"": null
}{noformat}

[^Новая таблица - Negative tests-final.csv]
[^Box test full flow.postman_test_run.json]
[^workspace.postman_globals_new.json]



*Expected Result*:

400 kod",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,IS-25,IS-26,IS-15,13/Dec/22 11:11 PM;616c7d88a6ecfc0071ceb3da;Box test full flow.postman_test_run.json;https://team-16689568931872.atlassian.net/secure/attachment/10001/Box+test+full+flow.postman_test_run.json,13/Dec/22 11:11 PM;616c7d88a6ecfc0071ceb3da;workspace.postman_globals_new.json;https://team-16689568931872.atlassian.net/secure/attachment/10000/workspace.postman_globals_new.json,13/Dec/22 11:15 PM;616c7d88a6ecfc0071ceb3da;Новая таблица - Negative tests-final.csv;https://team-16689568931872.atlassian.net/secure/attachment/10009/%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D1%82%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0+-+Negative+tests-final.csv,,,0|i00053:,To Do
Create box - wrong method,IS-23,10022,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:02 PM,13/Dec/22 11:05 PM,13/Dec/22 11:04 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

DELETE [https://staging.lpitko.ru|https://staging.lpitko.ru/api/register?redirect=%2F]/api/box/ (wrong method)

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{$randomProductName}}"",
    ""key"": ""{{key}}"",//key grom create request
    ""picture"": ""cup_two"",
    ""usePost"": true,
    ""useCashLimit"": true,
    ""cashLimit"": ""100"",
    ""cashLimitCurrency"": ""rub"",
    ""useWish"": true,
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": false,
    ""isPhoneRequired"": false,
    ""logo"": null
}{noformat}

*Expected Result*:

200 kod

ок ",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,,,IS-22,,,,,,0|i0004v:,To Do
Create box - wrong param  key,IS-22,10021,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:01 PM,13/Dec/22 11:02 PM,13/Dec/22 11:01 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru|https://staging.lpitko.ru/api/register?redirect=%2F]/api/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{$randomProductName}}"",
    ""ke"": ""{{key}}"",//wrong key
    ""picture"": ""cup_two"",
    ""usePost"": true,
    ""useCashLimit"": true,
    ""cashLimit"": ""100"",
    ""cashLimitCurrency"": ""rub"",
    ""useWish"": true,
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": false,
    ""isPhoneRequired"": false,
    ""logo"": null
}{noformat}

*Expected Result*:

400 kod

Example of response

{noformat}{
    ""error"": {
        ""message"": ""validations.invalid"",
        ""errors"": [
            {
                ""transKey"": ""validations.required"",
                ""field"": ""key""
            }
        ],
        ""name"": ""ValidationError"",
        ""type"": ""server"",
        ""data"": null,
        ""status"": 400
    }
}{noformat}",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,IS-23,,IS-20,,,,,,0|i0004n:,To Do
Create box - wrong param name,IS-21,10020,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 11:00 PM,13/Dec/22 11:00 PM,13/Dec/22 11:22 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/|https://staging.lpitko.ru/api/register?redirect=%2F]aptest

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{$randomProductName}}"",
    ""key"": ""{{key}}"",//key from create request
    ""picture"": ""cup_two"",
    ""usePost"": true,
    ""useCashLimit"": true,
    ""cashLimit"": ""100"",
    ""cashLimitCurrency"": ""rub"",
    ""useWish"": true,
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": false,
    ""isPhoneRequired"": false,
    ""logo"": null
}{noformat}

but without cookies in headers

*Expected Result*:

200 kod

Example of response

{noformat}{noformat}",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,,,IS-20,,,,,,0|i0004f:,To Do
Create box- wrong endpoint,IS-20,10019,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 10:57 PM,13/Dec/22 11:01 PM,13/Dec/22 10:59 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/|https://staging.lpitko.ru/api/register?redirect=%2F]aptest

Body:

{noformat}{
    ""email"": null,
    ""nam"": ""{{$randomProductName}}"",//wrong name
    ""key"": ""{{key}}"",//key from create request
    ""picture"": ""cup_two"",
    ""usePost"": true,
    ""useCashLimit"": true,
    ""cashLimit"": ""100"",
    ""cashLimitCurrency"": ""rub"",
    ""useWish"": true,
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": false,
    ""isPhoneRequired"": false,
    ""logo"": null
}{noformat}



*Expected Result*:

400 kod

Example of response

{noformat}{
    ""error"": {
        ""message"": ""validations.invalid"",
        ""errors"": [
            {
                ""transKey"": ""validations.required"",
                ""field"": ""name""
            }
        ],
        ""name"": ""ValidationError"",
        ""type"": ""server"",
        ""data"": null,
        ""status"": 400
    }
}{noformat}",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,IS-21,IS-22,IS-19,,,,,,0|i00047:,To Do
Change box - 401,IS-19,10018,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 10:55 PM,13/Dec/22 10:59 PM,13/Dec/22 10:59 PM,,,0,,"

*Steps:*

Send in a Postman request with the parameters:

POST [https://staging.lpitko.ru/api|https://staging.lpitko.ru/api/register?redirect=%2F]/box/

Body:

{noformat}{
    ""email"": null,
    ""name"": ""{{$randomProductName}}"",
    ""key"": ""{{key}}"",//key from create request
    ""picture"": ""cup_two"",
    ""usePost"": true,
    ""useCashLimit"": true,
    ""cashLimit"": ""100"",
    ""cashLimitCurrency"": ""rub"",
    ""useWish"": true,
    ""useCircleDraw"": null,
    ""isInviteAfterDraw"": null,
    ""isArchived"": null,
    ""createAdminCard"": null,
    ""isCreated"": true,
    ""useNames"": false,
    ""isPhoneRequired"": false,
    ""logo"": null
}{noformat}

but without cookies in headers

*Expected Result*:

401 kod

Example of response

{noformat}{
    ""error"": {
        ""message"": ""Unauthorized"",
        ""errors"": [
            ""Unauthorized""
        ],
        ""name"": ""UnauthorizedError"",
        ""type"": ""server"",
        ""data"": null,
        ""status"": 401
    }
}{noformat}",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,IS-20,,IS-17,,,,,,0|i0003z:,To Do
Delete box,IS-18,10017,Test,To Do,IS,IT-Switcher,software,apanas1984,616c7d88a6ecfc0071ceb3da,,Medium,,,,apanas1984,616c7d88a6ecfc0071ceb3da,apanas1984,616c7d88a6ecfc0071ceb3da,13/Dec/22 10:52 PM,13/Dec/22 10:53 PM,13/Dec/22 10:52 PM,,,0,,"*Steps:*

Send in a Postman request with the parameters:

DELETE [https://staging.lpitko.ru/api/|https://staging.lpitko.ru/api/register?redirect=%2F]box/{{key}}

{{key}} - key from create [request|https://team-16689568931872.atlassian.net/browse/IS-15] 

*Expected Result*:

Example of response

200 kod

ок ",,apanas1984,616c7d88a6ecfc0071ceb3da,,,,,,,,,,,IS-16,,,,,,0|i0003r:,To Do
